url,nome_olimpiada,documentos_inscricao,edital,inscricao_inicio,inscricao_fim,evento_inicio,evento_fim
https://www.ifms.edu.br/assuntos/eventos/feiras/feiras-de-ciencia-e-tecnologia-2025,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado
https://pages.cnpem.br/cienciaaberta/,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado
https://www.unisc.br/feiradeciencias/,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado
https://github.com/agenda-tech-brasil/agenda-tech-brasil,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado,Não encontrado
https://www.fetecms.com/,Não encontrado,Não encontrado,https://www.fetecms.com/_files/ugd/12904e_1586f3250b3f42a5aabd549ff8b20632.pdf,Não encontrado,Não encontrado,Não encontrado,Não encontrado
https://febrace.org.br/,Mostra de Ciências 3M reúne estudantes nos dias 22 e 23 de outubro,Não encontrado,https://febrace.org.br/participe/regras/politica-de-privacidade/,Não encontrado,Não encontrado,Não encontrado,Não encontrado
https://febrace.org.br/acervo/feiras-afiliadas/feiras-afiliadas-2025/,FEBRACE Inspiradores,Não encontrado,https://febrace.org.br/participe/regras/politica-de-privacidade/,Não encontrado,Não encontrado,Não encontrado,Não encontrado
https://www.gov.br/observatorio/pt-br/assuntos/noticias/observatorio-nacional-divulga-calendario-de-eventos-cientificos-2025,Não encontrado,Não encontrado,Não encontrado,25/02/2025,16/10/2025,10/02/2025,25/10/2025
https://semanact.mcti.gov.br/,Não encontrado,Não encontrado,Não encontrado,01/10/2025,26/10/2025,29/10/2025,01/10/2033
https://feiradoconhecimento.com.br/,Não encontrado,Não encontrado,https://feiradoconhecimento.com.br/wp-content/uploads/2025/10/Edital-TSR-FdC-2025v1.pdf,01/11/2025,01/11/2025,01/11/2025,08/11/2025
"https://feiradoconhecimento.com.br/#:~:text=Em%202025%2C%20a%20Feira%20do,mudan%C3%A7as%20clim%C3%A1ticas%20no%20meu%20territ%C3%B3rio.",Não encontrado,Não encontrado,https://feiradoconhecimento.com.br/wp-content/uploads/2025/10/Edital-TSR-FdC-2025v1.pdf,01/11/2025,01/11/2025,01/11/2025,08/11/2025
https://femic.com.br/,FEMIC,Não encontrado,https://femic.com.br/regras-de-participacao-virtual/,01/11/2025,01/11/2025,01/11/2025,06/12/2025
"https://www.poli.usp.br/noticias/polinamidia/feira-de-ciencias-nacional-a-febrace-esta-com-inscricoes-abertas-para-edicao-de-2025-evento-e-realizado-anualmente-na-usp/#:~:text=As%20inscri%C3%A7%C3%B5es%20v%C3%A3o%20at%C3%A9%20o,28%20de%20mar%C3%A7o%20de%202025.","Feira de ciências nacional, a Febrace, está com inscrições abertas para edição de 2025",Estagios  – Formulários,Não encontrado,01/03/2025,15/07/2025,28/03/2025,01/03/2039
